candidate_id,years_experience,skills,communication,notes
1,4,Java,good,Candidate #1 profile
2,5,JavaScript,strong,Candidate #2 profile
3,6,Go,clear,Candidate #3 profile
4,7,Rust,excellent,Candidate #4 profile
5,8,Python,good,Candidate #5 profile
6,9,Java,strong,Candidate #6 profile
7,10,JavaScript,clear,Candidate #7 profile
8,11,Go,excellent,Candidate #8 profile
9,12,Rust,good,Candidate #9 profile
10,3,Python,strong,Candidate #10 profile
11,4,Java,clear,Candidate #11 profile
12,5,JavaScript,excellent,Candidate #12 profile
13,6,Go,good,Candidate #13 profile
14,7,Rust,strong,Candidate #14 profile
15,8,Python,clear,Candidate #15 profile
16,9,Java,excellent,Candidate #16 profile
17,10,JavaScript,good,Candidate #17 profile
18,11,Go,strong,Candidate #18 profile
19,12,Rust,clear,Candidate #19 profile
20,3,Python,excellent,Candidate #20 profile
21,4,Java,good,Candidate #21 profile
22,5,JavaScript,strong,Candidate #22 profile
23,6,Go,clear,Candidate #23 profile
24,7,Rust,excellent,Candidate #24 profile
25,8,Python,good,Candidate #25 profile
26,9,Java,strong,Candidate #26 profile
27,10,JavaScript,clear,Candidate #27 profile
28,11,Go,excellent,Candidate #28 profile
29,12,Rust,good,Candidate #29 profile
30,3,Python,strong,Candidate #30 profile
31,4,Java,clear,Candidate #31 profile
32,5,JavaScript,excellent,Candidate #32 profile
33,6,Go,good,Candidate #33 profile
34,7,Rust,strong,Candidate #34 profile
35,8,Python,clear,Candidate #35 profile
36,9,Java,excellent,Candidate #36 profile
37,10,JavaScript,good,Candidate #37 profile
38,11,Go,strong,Candidate #38 profile
39,12,Rust,clear,Candidate #39 profile
40,3,Python,excellent,Candidate #40 profile
41,4,Java,good,Candidate #41 profile
42,5,JavaScript,strong,Candidate #42 profile
43,6,Go,clear,Candidate #43 profile
44,7,Rust,excellent,Candidate #44 profile
45,8,Python,good,Candidate #45 profile
46,9,Java,strong,Candidate #46 profile
47,10,JavaScript,clear,Candidate #47 profile
48,11,Go,excellent,Candidate #48 profile
49,12,Rust,good,Candidate #49 profile
50,3,Python,strong,Candidate #50 profile
51,4,Java,clear,Candidate #51 profile
52,5,JavaScript,excellent,Candidate #52 profile
53,6,Go,good,Candidate #53 profile
54,7,Rust,strong,Candidate #54 profile
55,8,Python,clear,Candidate #55 profile
56,9,Java,excellent,Candidate #56 profile
57,10,JavaScript,good,Candidate #57 profile
58,11,Go,strong,Candidate #58 profile
59,12,Rust,clear,Candidate #59 profile
60,3,Python,excellent,Candidate #60 profile
61,4,Java,good,Candidate #61 profile
62,5,JavaScript,strong,Candidate #62 profile
63,6,Go,clear,Candidate #63 profile
64,7,Rust,excellent,Candidate #64 profile
65,8,Python,good,Candidate #65 profile
66,9,Java,strong,Candidate #66 profile
67,10,JavaScript,clear,Candidate #67 profile
68,11,Go,excellent,Candidate #68 profile
69,12,Rust,good,Candidate #69 profile
70,3,Python,strong,Candidate #70 profile
71,4,Java,clear,Candidate #71 profile
72,5,JavaScript,excellent,Candidate #72 profile
73,6,Go,good,Candidate #73 profile
74,7,Rust,strong,Candidate #74 profile
75,8,Python,clear,Candidate #75 profile
76,9,Java,excellent,Candidate #76 profile
77,10,JavaScript,good,Candidate #77 profile
78,11,Go,strong,Candidate #78 profile
79,12,Rust,clear,Candidate #79 profile
80,3,Python,excellent,Candidate #80 profile
81,4,Java,good,Candidate #81 profile
82,5,JavaScript,strong,Candidate #82 profile
83,6,Go,clear,Candidate #83 profile
84,7,Rust,excellent,Candidate #84 profile
85,8,Python,good,Candidate #85 profile
86,9,Java,strong,Candidate #86 profile
87,10,JavaScript,clear,Candidate #87 profile
88,11,Go,excellent,Candidate #88 profile
89,12,Rust,good,Candidate #89 profile
90,3,Python,strong,Candidate #90 profile
91,4,Java,clear,Candidate #91 profile
92,5,JavaScript,excellent,Candidate #92 profile
93,6,Go,good,Candidate #93 profile
94,7,Rust,strong,Candidate #94 profile
95,8,Python,clear,Candidate #95 profile
96,9,Java,excellent,Candidate #96 profile
97,10,JavaScript,good,Candidate #97 profile
98,11,Go,strong,Candidate #98 profile
99,12,Rust,clear,Candidate #99 profile
100,3,Python,excellent,Candidate #100 profile
101,4,Java,good,Candidate #101 profile
102,5,JavaScript,strong,Candidate #102 profile
103,6,Go,clear,Candidate #103 profile
104,7,Rust,excellent,Candidate #104 profile
105,8,Python,good,Candidate #105 profile
106,9,Java,strong,Candidate #106 profile
107,10,JavaScript,clear,Candidate #107 profile
108,11,Go,excellent,Candidate #108 profile
109,12,Rust,good,Candidate #109 profile
110,3,Python,strong,Candidate #110 profile
111,4,Java,clear,Candidate #111 profile
112,5,JavaScript,excellent,Candidate #112 profile
113,6,Go,good,Candidate #113 profile
114,7,Rust,strong,Candidate #114 profile
115,8,Python,clear,Candidate #115 profile
116,9,Java,excellent,Candidate #116 profile
117,10,JavaScript,good,Candidate #117 profile
118,11,Go,strong,Candidate #118 profile
119,12,Rust,clear,Candidate #119 profile
120,3,Python,excellent,Candidate #120 profile
121,4,Java,good,Candidate #121 profile
122,5,JavaScript,strong,Candidate #122 profile
123,6,Go,clear,Candidate #123 profile
124,7,Rust,excellent,Candidate #124 profile
125,8,Python,good,Candidate #125 profile
126,9,Java,strong,Candidate #126 profile
127,10,JavaScript,clear,Candidate #127 profile
128,11,Go,excellent,Candidate #128 profile
129,12,Rust,good,Candidate #129 profile
130,3,Python,strong,Candidate #130 profile
131,4,Java,clear,Candidate #131 profile
132,5,JavaScript,excellent,Candidate #132 profile
133,6,Go,good,Candidate #133 profile
134,7,Rust,strong,Candidate #134 profile
135,8,Python,clear,Candidate #135 profile
136,9,Java,excellent,Candidate #136 profile
137,10,JavaScript,good,Candidate #137 profile
138,11,Go,strong,Candidate #138 profile
139,12,Rust,clear,Candidate #139 profile
140,3,Python,excellent,Candidate #140 profile
141,4,Java,good,Candidate #141 profile
142,5,JavaScript,strong,Candidate #142 profile
143,6,Go,clear,Candidate #143 profile
144,7,Rust,excellent,Candidate #144 profile
145,8,Python,good,Candidate #145 profile
146,9,Java,strong,Candidate #146 profile
147,10,JavaScript,clear,Candidate #147 profile
148,11,Go,excellent,Candidate #148 profile
149,12,Rust,good,Candidate #149 profile
150,3,Python,strong,Candidate #150 profile
151,4,Java,clear,Candidate #151 profile
152,5,JavaScript,excellent,Candidate #152 profile
153,6,Go,good,Candidate #153 profile
154,7,Rust,strong,Candidate #154 profile
155,8,Python,clear,Candidate #155 profile
156,9,Java,excellent,Candidate #156 profile
157,10,JavaScript,good,Candidate #157 profile
158,11,Go,strong,Candidate #158 profile
159,12,Rust,clear,Candidate #159 profile
160,3,Python,excellent,Candidate #160 profile
161,4,Java,good,Candidate #161 profile
162,5,JavaScript,strong,Candidate #162 profile
163,6,Go,clear,Candidate #163 profile
164,7,Rust,excellent,Candidate #164 profile
165,8,Python,good,Candidate #165 profile
166,9,Java,strong,Candidate #166 profile
167,10,JavaScript,clear,Candidate #167 profile
168,11,Go,excellent,Candidate #168 profile
169,12,Rust,good,Candidate #169 profile
170,3,Python,strong,Candidate #170 profile
171,4,Java,clear,Candidate #171 profile
172,5,JavaScript,excellent,Candidate #172 profile
173,6,Go,good,Candidate #173 profile
174,7,Rust,strong,Candidate #174 profile
175,8,Python,clear,Candidate #175 profile
176,9,Java,excellent,Candidate #176 profile
177,10,JavaScript,good,Candidate #177 profile
178,11,Go,strong,Candidate #178 profile
179,12,Rust,clear,Candidate #179 profile
180,3,Python,excellent,Candidate #180 profile
181,4,Java,good,Candidate #181 profile
182,5,JavaScript,strong,Candidate #182 profile
183,6,Go,clear,Candidate #183 profile
184,7,Rust,excellent,Candidate #184 profile
185,8,Python,good,Candidate #185 profile
186,9,Java,strong,Candidate #186 profile
187,10,JavaScript,clear,Candidate #187 profile
188,11,Go,excellent,Candidate #188 profile
189,12,Rust,good,Candidate #189 profile
190,3,Python,strong,Candidate #190 profile
191,4,Java,clear,Candidate #191 profile
192,5,JavaScript,excellent,Candidate #192 profile
193,6,Go,good,Candidate #193 profile
194,7,Rust,strong,Candidate #194 profile
195,8,Python,clear,Candidate #195 profile
196,9,Java,excellent,Candidate #196 profile
197,10,JavaScript,good,Candidate #197 profile
198,11,Go,strong,Candidate #198 profile
199,12,Rust,clear,Candidate #199 profile
200,3,Python,excellent,Candidate #200 profile
201,4,Java,good,Candidate #201 profile
202,5,JavaScript,strong,Candidate #202 profile
203,6,Go,clear,Candidate #203 profile
204,7,Rust,excellent,Candidate #204 profile
205,8,Python,good,Candidate #205 profile
206,9,Java,strong,Candidate #206 profile
207,10,JavaScript,clear,Candidate #207 profile
208,11,Go,excellent,Candidate #208 profile
209,12,Rust,good,Candidate #209 profile
210,3,Python,strong,Candidate #210 profile
211,4,Java,clear,Candidate #211 profile
212,5,JavaScript,excellent,Candidate #212 profile
213,6,Go,good,Candidate #213 profile
214,7,Rust,strong,Candidate #214 profile
215,8,Python,clear,Candidate #215 profile
216,9,Java,excellent,Candidate #216 profile
217,10,JavaScript,good,Candidate #217 profile
218,11,Go,strong,Candidate #218 profile
219,12,Rust,clear,Candidate #219 profile
220,3,Python,excellent,Candidate #220 profile
221,4,Java,good,Candidate #221 profile
222,5,JavaScript,strong,Candidate #222 profile
223,6,Go,clear,Candidate #223 profile
224,7,Rust,excellent,Candidate #224 profile
225,8,Python,good,Candidate #225 profile
226,9,Java,strong,Candidate #226 profile
227,10,JavaScript,clear,Candidate #227 profile
228,11,Go,excellent,Candidate #228 profile
229,12,Rust,good,Candidate #229 profile
230,3,Python,strong,Candidate #230 profile
231,4,Java,clear,Candidate #231 profile
232,5,JavaScript,excellent,Candidate #232 profile
233,6,Go,good,Candidate #233 profile
234,7,Rust,strong,Candidate #234 profile
235,8,Python,clear,Candidate #235 profile
236,9,Java,excellent,Candidate #236 profile
237,10,JavaScript,good,Candidate #237 profile
238,11,Go,strong,Candidate #238 profile
239,12,Rust,clear,Candidate #239 profile
240,3,Python,excellent,Candidate #240 profile
241,4,Java,good,Candidate #241 profile
242,5,JavaScript,strong,Candidate #242 profile
243,6,Go,clear,Candidate #243 profile
244,7,Rust,excellent,Candidate #244 profile
245,8,Python,good,Candidate #245 profile
246,9,Java,strong,Candidate #246 profile
247,10,JavaScript,clear,Candidate #247 profile
248,11,Go,excellent,Candidate #248 profile
249,12,Rust,good,Candidate #249 profile
250,3,Python,strong,Candidate #250 profile
251,4,Java,clear,Candidate #251 profile
252,5,JavaScript,excellent,Candidate #252 profile
253,6,Go,good,Candidate #253 profile
254,7,Rust,strong,Candidate #254 profile
255,8,Python,clear,Candidate #255 profile
256,9,Java,excellent,Candidate #256 profile
257,10,JavaScript,good,Candidate #257 profile
258,11,Go,strong,Candidate #258 profile
259,12,Rust,clear,Candidate #259 profile
260,3,Python,excellent,Candidate #260 profile
261,4,Java,good,Candidate #261 profile
262,5,JavaScript,strong,Candidate #262 profile
263,6,Go,clear,Candidate #263 profile
264,7,Rust,excellent,Candidate #264 profile
265,8,Python,good,Candidate #265 profile
266,9,Java,strong,Candidate #266 profile
267,10,JavaScript,clear,Candidate #267 profile
268,11,Go,excellent,Candidate #268 profile
269,12,Rust,good,Candidate #269 profile
270,3,Python,strong,Candidate #270 profile
271,4,Java,clear,Candidate #271 profile
272,5,JavaScript,excellent,Candidate #272 profile
273,6,Go,good,Candidate #273 profile
274,7,Rust,strong,Candidate #274 profile
275,8,Python,clear,Candidate #275 profile
276,9,Java,excellent,Candidate #276 profile
277,10,JavaScript,good,Candidate #277 profile
278,11,Go,strong,Candidate #278 profile
279,12,Rust,clear,Candidate #279 profile
280,3,Python,excellent,Candidate #280 profile
281,4,Java,good,Candidate #281 profile
282,5,JavaScript,strong,Candidate #282 profile
283,6,Go,clear,Candidate #283 profile
284,7,Rust,excellent,Candidate #284 profile
285,8,Python,good,Candidate #285 profile
286,9,Java,strong,Candidate #286 profile
287,10,JavaScript,clear,Candidate #287 profile
288,11,Go,excellent,Candidate #288 profile
289,12,Rust,good,Candidate #289 profile
290,3,Python,strong,Candidate #290 profile
291,4,Java,clear,Candidate #291 profile
292,5,JavaScript,excellent,Candidate #292 profile
293,6,Go,good,Candidate #293 profile
294,7,Rust,strong,Candidate #294 profile
295,8,Python,clear,Candidate #295 profile
296,9,Java,excellent,Candidate #296 profile
297,10,JavaScript,good,Candidate #297 profile
298,11,Go,strong,Candidate #298 profile
299,12,Rust,clear,Candidate #299 profile
300,3,Python,excellent,Candidate #300 profile
301,4,Java,good,Candidate #301 profile
302,5,JavaScript,strong,Candidate #302 profile
303,6,Go,clear,Candidate #303 profile
304,7,Rust,excellent,Candidate #304 profile
305,8,Python,good,Candidate #305 profile
306,9,Java,strong,Candidate #306 profile
307,10,JavaScript,clear,Candidate #307 profile
308,11,Go,excellent,Candidate #308 profile
309,12,Rust,good,Candidate #309 profile
310,3,Python,strong,Candidate #310 profile
311,4,Java,clear,Candidate #311 profile
312,5,JavaScript,excellent,Candidate #312 profile
313,6,Go,good,Candidate #313 profile
314,7,Rust,strong,Candidate #314 profile
315,8,Python,clear,Candidate #315 profile
316,9,Java,excellent,Candidate #316 profile
317,10,JavaScript,good,Candidate #317 profile
318,11,Go,strong,Candidate #318 profile
319,12,Rust,clear,Candidate #319 profile
320,3,Python,excellent,Candidate #320 profile
321,4,Java,good,Candidate #321 profile
322,5,JavaScript,strong,Candidate #322 profile
323,6,Go,clear,Candidate #323 profile
324,7,Rust,excellent,Candidate #324 profile
325,8,Python,good,Candidate #325 profile
326,9,Java,strong,Candidate #326 profile
327,10,JavaScript,clear,Candidate #327 profile
328,11,Go,excellent,Candidate #328 profile
329,12,Rust,good,Candidate #329 profile
330,3,Python,strong,Candidate #330 profile
331,4,Java,clear,Candidate #331 profile
332,5,JavaScript,excellent,Candidate #332 profile
333,6,Go,good,Candidate #333 profile
334,7,Rust,strong,Candidate #334 profile
335,8,Python,clear,Candidate #335 profile
336,9,Java,excellent,Candidate #336 profile
337,10,JavaScript,good,Candidate #337 profile
338,11,Go,strong,Candidate #338 profile
339,12,Rust,clear,Candidate #339 profile
340,3,Python,excellent,Candidate #340 profile
341,4,Java,good,Candidate #341 profile
342,5,JavaScript,strong,Candidate #342 profile
343,6,Go,clear,Candidate #343 profile
344,7,Rust,excellent,Candidate #344 profile
345,8,Python,good,Candidate #345 profile
346,9,Java,strong,Candidate #346 profile
347,10,JavaScript,clear,Candidate #347 profile
348,11,Go,excellent,Candidate #348 profile
349,12,Rust,good,Candidate #349 profile
350,3,Python,strong,Candidate #350 profile
351,4,Java,clear,Candidate #351 profile
352,5,JavaScript,excellent,Candidate #352 profile
353,6,Go,good,Candidate #353 profile
354,7,Rust,strong,Candidate #354 profile
355,8,Python,clear,Candidate #355 profile
356,9,Java,excellent,Candidate #356 profile
357,10,JavaScript,good,Candidate #357 profile
358,11,Go,strong,Candidate #358 profile
359,12,Rust,clear,Candidate #359 profile
360,3,Python,excellent,Candidate #360 profile
361,4,Java,good,Candidate #361 profile
362,5,JavaScript,strong,Candidate #362 profile
363,6,Go,clear,Candidate #363 profile
364,7,Rust,excellent,Candidate #364 profile
365,8,Python,good,Candidate #365 profile
366,9,Java,strong,Candidate #366 profile
367,10,JavaScript,clear,Candidate #367 profile
368,11,Go,excellent,Candidate #368 profile
369,12,Rust,good,Candidate #369 profile
370,3,Python,strong,Candidate #370 profile
371,4,Java,clear,Candidate #371 profile
372,5,JavaScript,excellent,Candidate #372 profile
373,6,Go,good,Candidate #373 profile
374,7,Rust,strong,Candidate #374 profile
375,8,Python,clear,Candidate #375 profile
376,9,Java,excellent,Candidate #376 profile
377,10,JavaScript,good,Candidate #377 profile
378,11,Go,strong,Candidate #378 profile
379,12,Rust,clear,Candidate #379 profile
380,3,Python,excellent,Candidate #380 profile
381,4,Java,good,Candidate #381 profile
382,5,JavaScript,strong,Candidate #382 profile
383,6,Go,clear,Candidate #383 profile
384,7,Rust,excellent,Candidate #384 profile
385,8,Python,good,Candidate #385 profile
386,9,Java,strong,Candidate #386 profile
387,10,JavaScript,clear,Candidate #387 profile
388,11,Go,excellent,Candidate #388 profile
389,12,Rust,good,Candidate #389 profile
390,3,Python,strong,Candidate #390 profile
391,4,Java,clear,Candidate #391 profile
392,5,JavaScript,excellent,Candidate #392 profile
393,6,Go,good,Candidate #393 profile
394,7,Rust,strong,Candidate #394 profile
395,8,Python,clear,Candidate #395 profile
396,9,Java,excellent,Candidate #396 profile
397,10,JavaScript,good,Candidate #397 profile
398,11,Go,strong,Candidate #398 profile
399,12,Rust,clear,Candidate #399 profile
400,3,Python,excellent,Candidate #400 profile
401,4,Java,good,Candidate #401 profile
402,5,JavaScript,strong,Candidate #402 profile
403,6,Go,clear,Candidate #403 profile
404,7,Rust,excellent,Candidate #404 profile
405,8,Python,good,Candidate #405 profile
406,9,Java,strong,Candidate #406 profile
407,10,JavaScript,clear,Candidate #407 profile
408,11,Go,excellent,Candidate #408 profile
409,12,Rust,good,Candidate #409 profile
410,3,Python,strong,Candidate #410 profile
411,4,Java,clear,Candidate #411 profile
412,5,JavaScript,excellent,Candidate #412 profile
413,6,Go,good,Candidate #413 profile
414,7,Rust,strong,Candidate #414 profile
415,8,Python,clear,Candidate #415 profile
416,9,Java,excellent,Candidate #416 profile
417,10,JavaScript,good,Candidate #417 profile
418,11,Go,strong,Candidate #418 profile
419,12,Rust,clear,Candidate #419 profile
420,3,Python,excellent,Candidate #420 profile
421,4,Java,good,Candidate #421 profile
422,5,JavaScript,strong,Candidate #422 profile
423,6,Go,clear,Candidate #423 profile
424,7,Rust,excellent,Candidate #424 profile
425,8,Python,good,Candidate #425 profile
426,9,Java,strong,Candidate #426 profile
427,10,JavaScript,clear,Candidate #427 profile
428,11,Go,excellent,Candidate #428 profile
429,12,Rust,good,Candidate #429 profile
430,3,Python,strong,Candidate #430 profile
431,4,Java,clear,Candidate #431 profile
432,5,JavaScript,excellent,Candidate #432 profile
433,6,Go,good,Candidate #433 profile
434,7,Rust,strong,Candidate #434 profile
435,8,Python,clear,Candidate #435 profile
436,9,Java,excellent,Candidate #436 profile
437,10,JavaScript,good,Candidate #437 profile
438,11,Go,strong,Candidate #438 profile
439,12,Rust,clear,Candidate #439 profile
440,3,Python,excellent,Candidate #440 profile
441,4,Java,good,Candidate #441 profile
442,5,JavaScript,strong,Candidate #442 profile
443,6,Go,clear,Candidate #443 profile
444,7,Rust,excellent,Candidate #444 profile
445,8,Python,good,Candidate #445 profile
446,9,Java,strong,Candidate #446 profile
447,10,JavaScript,clear,Candidate #447 profile
448,11,Go,excellent,Candidate #448 profile
449,12,Rust,good,Candidate #449 profile
450,3,Python,strong,Candidate #450 profile
451,4,Java,clear,Candidate #451 profile
452,5,JavaScript,excellent,Candidate #452 profile
453,6,Go,good,Candidate #453 profile
454,7,Rust,strong,Candidate #454 profile
455,8,Python,clear,Candidate #455 profile
456,9,Java,excellent,Candidate #456 profile
457,10,JavaScript,good,Candidate #457 profile
458,11,Go,strong,Candidate #458 profile
459,12,Rust,clear,Candidate #459 profile
460,3,Python,excellent,Candidate #460 profile
461,4,Java,good,Candidate #461 profile
462,5,JavaScript,strong,Candidate #462 profile
463,6,Go,clear,Candidate #463 profile
464,7,Rust,excellent,Candidate #464 profile
465,8,Python,good,Candidate #465 profile
466,9,Java,strong,Candidate #466 profile
467,10,JavaScript,clear,Candidate #467 profile
468,11,Go,excellent,Candidate #468 profile
469,12,Rust,good,Candidate #469 profile
470,3,Python,strong,Candidate #470 profile
471,4,Java,clear,Candidate #471 profile
472,5,JavaScript,excellent,Candidate #472 profile
473,6,Go,good,Candidate #473 profile
474,7,Rust,strong,Candidate #474 profile
475,8,Python,clear,Candidate #475 profile
476,9,Java,excellent,Candidate #476 profile
477,10,JavaScript,good,Candidate #477 profile
478,11,Go,strong,Candidate #478 profile
479,12,Rust,clear,Candidate #479 profile
480,3,Python,excellent,Candidate #480 profile
481,4,Java,good,Candidate #481 profile
482,5,JavaScript,strong,Candidate #482 profile
483,6,Go,clear,Candidate #483 profile
484,7,Rust,excellent,Candidate #484 profile
485,8,Python,good,Candidate #485 profile
486,9,Java,strong,Candidate #486 profile
487,10,JavaScript,clear,Candidate #487 profile
488,11,Go,excellent,Candidate #488 profile
489,12,Rust,good,Candidate #489 profile
490,3,Python,strong,Candidate #490 profile
491,4,Java,clear,Candidate #491 profile
492,5,JavaScript,excellent,Candidate #492 profile
493,6,Go,good,Candidate #493 profile
494,7,Rust,strong,Candidate #494 profile
495,8,Python,clear,Candidate #495 profile
496,9,Java,excellent,Candidate #496 profile
497,10,JavaScript,good,Candidate #497 profile
498,11,Go,strong,Candidate #498 profile
499,12,Rust,clear,Candidate #499 profile
500,3,Python,excellent,Candidate #500 profile
501,4,Java,good,Candidate #501 profile
